iteration,docs_remaining,percent_of_original,avg_bm25_sql_time_s_disjunctive_top10,query_count,delete_batch
1,457685,100.0,0.126017,100,10000
2,447685,97.815091,0.141713,100,10000
3,437685,95.630182,0.159238,100,10000
4,427685,93.445273,0.171349,100,10000
5,417685,91.260365,0.184118,100,10000
6,407685,89.075456,0.196368,100,10000
7,397685,86.890547,0.22019,100,10000
8,387685,84.705638,0.232323,100,10000
9,377685,82.520729,0.233471,100,10000
10,367685,80.33582,0.244151,100,10000
11,357685,78.150912,0.269941,100,10000
12,347685,75.966003,0.097017,100,10000
13,337685,73.781094,0.116436,100,10000
14,327685,71.596185,0.131705,100,10000
15,317685,69.411276,0.146697,100,10000
16,307685,67.226367,0.158847,100,10000
17,297685,65.041459,0.172941,100,10000
18,287685,62.85655,0.182537,100,10000
19,277685,60.671641,0.197149,100,10000
20,267685,58.486732,0.201562,100,10000
21,257685,56.301823,0.086105,100,10000
22,247685,54.116914,0.101593,100,10000
23,237685,51.932006,0.114609,100,10000
24,227685,49.747097,0.127451,100,10000
25,217685,47.562188,0.137957,100,10000
26,207685,45.377279,0.142932,100,10000
27,197685,43.19237,0.16516,100,10000
28,187685,41.007461,0.164846,100,10000
29,177685,38.822553,0.178492,100,10000
30,167685,36.637644,0.054811,100,10000
31,157685,34.452735,0.073577,100,10000
32,147685,32.267826,0.082738,100,10000
33,137685,30.082917,0.094543,100,10000
34,127685,27.898008,0.10636,100,10000
35,117685,25.7131,0.110286,100,10000
36,107685,23.528191,0.118238,100,10000
37,97685,21.343282,0.124568,100,10000
38,87685,19.158373,0.119606,100,10000
39,77685,16.973464,0.034967,100,10000
40,67685,14.788555,0.045241,100,10000
41,57685,12.603647,0.051197,100,10000
42,47685,10.418738,0.056595,100,10000
43,37685,8.233829,0.055293,100,10000
44,27685,6.04892,0.052396,100,10000
45,17685,3.864011,0.054408,100,10000
